ID,areaBuffer,areaImpact,areaLevels,areaPercentAgri,firstYR,lastYR,mostYR
1,3.776224284,Yes,High,0.603246465,2020,2022,2021
2,10.13355596,Yes,Extreme,0.818553369,2021,2022,2021
3,3.19877992,No,None,0,,,
4,6.970559632,No,None,0,,,
5,7.689615753,No,None,0,,,
6,4.673978813,No,None,0,,,
7,4.176354835,No,None,0,,,
8,3.856647203,No,None,0,,,
9,2.423319974,No,None,0,,,
10,2.652208809,No,None,0,,,
11,5.501734992,No,None,0,,,
12,7.913743596,No,None,0,,,
13,4.62603897,Yes,Low,0.148886634,2022,2022,2022
14,5.613801057,Yes,Low,0.225972768,2018,2022,2021
15,5.066446033,No,None,0,,,
16,1.301223783,No,None,0,,,
17,8.93818645,Yes,Low,0.230087646,2018,2022,2018
18,2.877105981,Yes,Low,0.212891317,2019,2019,2019
19,3.984286939,Yes,Low,0.177416806,2017,2022,2018
20,2.164413425,Yes,Low,0.007435079,2018,2020,2020
21,4.344974478,No,None,0,,,
22,3.19403764,No,None,0,,,
23,4.071734987,Yes,Low,0.029195363,2022,2022,2022
24,7.997347063,Yes,Moderate,0.403879802,2017,2022,2017
25,7.103227324,Yes,Low,0.202456099,2021,2022,2021
26,14.36174038,No,None,0,,,
27,3.43098237,No,None,0,,,
28,5.146368514,No,None,0,,,
29,3.030344011,Yes,Low,0.003825014,2022,2022,2022
30,8.134407532,Yes,Low,0.06281035,2022,2022,2022
31,8.227082654,Yes,Low,0.248413942,2017,2022,2017
32,10.07450877,No,None,0,,,
33,6.963854298,No,None,0,,,
34,5.499146752,Yes,Extreme,0.795918295,2019,2022,2021
35,6.306575766,Yes,Extreme,0.975036905,2020,2022,2020
36,6.422433345,Yes,Low,0.187787336,2022,2022,2022
37,4.467703908,No,None,0,,,
38,5.82063026,No,None,0,,,
39,6.269188474,Yes,Low,0.249303158,2017,2022,2017
40,9.554922166,Yes,Extreme,0.94605685,2019,2022,2020
41,2.486480102,Yes,Extreme,1,2019,2020,2020
42,6.711138875,Yes,Extreme,0.878128963,2019,2022,2020
43,3.226159298,No,None,0,,,
44,3.851269086,No,None,0,,,
45,5.278766014,No,None,0,,,
46,3.865116386,No,None,0,,,
47,5.103660548,Yes,Moderate,0.2994767,2017,2022,2017
48,6.87715762,Yes,Low,0.186225971,2017,2022,2017
49,7.271051218,Yes,Low,0.175873764,2017,2021,2017
50,4.228138013,Yes,Moderate,0.412490401,2017,2020,2017
51,6.417820152,Yes,Low,0.160268267,2017,2022,2017
52,5.813497587,No,None,0,,,
53,7.37557873,No,None,0,,,
54,2.934614025,No,None,0,,,
55,10.10101568,No,None,0,,,
56,6.297798457,Yes,Moderate,0.27407636,2020,2022,2022
57,2.522592438,Yes,Moderate,0.296215176,2020,2022,2021
58,6.296354635,Yes,Extreme,0.901579121,2019,2022,2020
59,5.794008727,Yes,Moderate,0.404572527,2017,2022,2017
60,6.707804361,No,None,0,,,
61,2.768880925,No,None,0,,,
